exam_id	name	exam_year	uci
EXM_MU_6JOa_1483_150012	정종함(鄭從咸)	1483	G002+AKS-KHF_13C815C885D568U9999X0
EXM_MU_6JOa_1483_150013	채윤혜(蔡允惠)	1483	G002+AKS-KHF_13CC44C724D61CU9999X0
EXM_MU_6JOa_1483_150014	장경(張經)	1483	G002+AKS-KHF_12C7A5ACBDFFFFU9999X0
EXM_MU_6JOa_1483_150015	옥형(玉衡)	1483	G002+AKS-KHF_12C625D615FFFFU9999X0
EXM_MU_6JOa_1483_150016	김자치(金自治)	1483	G002+AKS-KHF_13AE40C790CE58U9999X0
EXM_MU_6JOa_1483_150017	김정로(金正路)	1483	G002+AKS-KHF_13AE40C815B85CU9999X0
EXM_MU_6JOa_1483_150018	허혜(許譓)	1483	G002+AKS-KHF_12D5C8D61CFFFFU9999X0
EXM_MU_6JOa_1483_150019	송걸(宋傑)	1483	G002+AKS-KHF_12C1A1AC78FFFFU9999X0
EXM_MU_6JOa_1483_150020	송사은(宋嗣殷)	1483	G002+AKS-KHF_13C1A1C0ACC740U9999X0
EXM_MU_6JOa_1483_150021	하호(河顥)	1483	G002+AKS-KHF_12D558D638FFFFU9999X0
EXM_MU_6JOa_1483_150022	이시손(李始孫)	1483	G002+AKS-KHF_13C774C2DCC190U9999X0
EXM_MU_6JOa_1483_150023	이화(李譁)	1483	G002+AKS-KHF_12C774D654FFFFU9999X0
EXM_MU_6JOa_1483_150024	민난손(閔蘭孫)	1483	G002+AKS-KHF_13BBFCB09CC190U9999X0
EXM_MU_6JOa_1483_150025	나경동(羅敬仝)	1483	G002+AKS-KHF_13B098ACBDB3D9U9999X0
EXM_MU_6JOa_1483_150026	여희령(呂希寧)	1483	G002+AKS-KHF_13C5ECD76CB839U9999X0
EXM_MU_6JOa_1483_150027	석유려(石有礪)	1483	G002+AKS-KHF_13C11DC720B824U9999X0
EXM_MU_6JOa_1483_150028	황윤복(黃閏福)	1483	G002+AKS-KHF_13D669C724BCF5U9999X0
EXM_MU_6JOa_1498_150001	정여흠(鄭汝欽)	1498	G002+AKS-KHF_13C815C5ECD760U9999X0
EXM_MU_6JOa_1498_150002	이종의(李宗義)	1498	G002+AKS-KHF_13C774C885C758U9999X1
EXM_MU_6JOa_1498_150003	이호의(李好義)	1498	G002+AKS-KHF_13C774D638C758U9999X0
EXM_MU_6JOa_1498_150004	윤귀정(尹龜禎)	1498	G002+AKS-KHF_13C724ADC0C815U9999X0
EXM_MU_6JOa_1498_150005	홍준(洪濬)	1498	G002+AKS-KHF_12D64DC900FFFFU9999X0
EXM_MU_6JOa_1498_150006	이식(李軾)	1498	G002+AKS-KHF_12C774C2DDFFFFU9999X7
EXM_MU_6JOa_1498_150007	홍계신(洪繼信)	1498	G002+AKS-KHF_13D64DACC4C2E0U9999X0
EXM_MU_6JOa_1498_150008	박승필(朴承㻶)	1498	G002+AKS-KHF_13BC15C2B9D544U9999X0
EXM_MU_6JOa_1498_150009	이우증(李友曾)	1498	G002+AKS-KHF_13C774C6B0C99DU9999X0
EXM_MU_6JOa_1498_150010	권수중(權守中)	1498	G002+AKS-KHF_13AD8CC218C911U9999X0
EXM_MU_6JOa_1498_150011	이안세(李安世)	1498	G002+AKS-KHF_13C774C548C138U9999X0
EXM_MU_6JOa_1498_150012	이창윤(李昌胤)	1498	G002+AKS-KHF_13C774CC3DC724U9999X2
EXM_MU_6JOa_1498_150013	최삼준(崔三俊)	1498	G002+AKS-KHF_13CD5CC0BCC900U9999X0
EXM_MU_6JOa_1498_150014	이윤영(李允榮)	1498	G002+AKS-KHF_13C774C724C601U9999X0
EXM_MU_6JOa_1498_150015	이호(李浩)	1498	G002+AKS-KHF_12C774D638FFFFU9999X0
EXM_MU_6JOa_1498_150016	유성(柳星)	1498	G002+AKS-KHF_12C720C131FFFFU9999X1
EXM_MU_6JOa_1498_150017	진해(陳海)	1498	G002+AKS-KHF_12C9C4D574FFFFU9999X0
EXM_MU_6JOa_1498_150018	김려(金麗)	1498	G002+AKS-KHF_12AE40B824FFFFU9999X3
EXM_MU_6JOa_1498_150019	유희정(柳希汀)	1498	G002+AKS-KHF_13C720D76CC815U9999X0
EXM_MU_6JOa_1498_150020	송옥광(宋沃光)	1498	G002+AKS-KHF_13C1A1C625AD11U9999X0
EXM_MU_6JOa_1498_150021	정선(鄭㳬)	1498	G002+AKS-KHF_12C815C120FFFFU9999X1
EXM_MU_6JOa_1498_150022	강극인(康克仁)	1498	G002+AKS-KHF_13AC15ADF9C778U9999X0
EXM_MU_6JOa_1498_150023	고수겸(高守謙)	1498	G002+AKS-KHF_13ACE0C218ACB8U9999X0
EXM_MU_6JOa_1498_150024	왕원(王瑗)	1498	G002+AKS-KHF_12C655C6D0FFFFU9999X0
EXM_MU_6JOa_1498_150025	이계형(李繼亨)	1498	G002+AKS-KHF_13C774ACC4D615U9999X1
EXM_MU_6JOa_1498_150026	양희석(梁希奭)	1498	G002+AKS-KHF_13C591D76CC11DU9999X0
EXM_MU_6JOa_1498_150027	홍수(洪壽)	1498	G002+AKS-KHF_12D64DC218FFFFU9999X2
EXM_MU_6JOa_1498_150028	김우맹(金友孟)	1498	G002+AKS-KHF_13AE40C6B0B9F9U9999X0
EXM_MU_6JOa_1507_000046	하순(河洵)	1507	G002+AKS-KHF_12D558C21CFFFFU9999X0
EXM_MU_6JOa_1507_000047	조준(趙俊)	1507	G002+AKS-KHF_12C870C900FFFFU9999X0
EXM_MU_6JOa_1507_000048	이심(李𦸂)	1507	G002+AKS-KHF_12C774C2ECFFFFU9999X3
EXM_MU_6JOa_1507_000049	김수렴(金粹濂)	1507	G002+AKS-KHF_13AE40C218B834U9999X0
EXM_MU_6JOa_1507_000050	이광필(李光弼)	1507	G002+AKS-KHF_13C774AD11D544U9999X0
EXM_MU_6JOa_1507_000051	윤여형(尹汝衡)	1507	G002+AKS-KHF_13C724C5ECD615U9999X1
EXM_MU_6JOa_1507_000052	김경준(金敬俊)	1507	G002+AKS-KHF_13AE40ACBDC900U9999X0
EXM_MU_6JOa_1507_000053	이경지(李敬智)	1507	G002+AKS-KHF_13C774ACBDC9C0U9999X0
EXM_MU_6JOa_1507_000054	이계장(李繼長)	1507	G002+AKS-KHF_13C774ACC4C7A5B1465X0
EXM_MU_6JOa_1507_000055	조세은(曺世殷)	1507	G002+AKS-KHF_13C870C138C740U9999X0
EXM_MU_6JOa_1507_000056	김종손(金從孫)	1507	G002+AKS-KHF_13AE40C885C190U9999X1
EXM_MU_6JOa_1507_000057	김공석(金公奭)	1507	G002+AKS-KHF_13AE40ACF5C11DU9999X0
EXM_MU_6JOa_1507_000058	장세정(張世禎)	1507	G002+AKS-KHF_13C7A5C138C815U9999X0
EXM_MU_6JOa_1507_000059	이기(李紀)	1507	G002+AKS-KHF_12C774AE30FFFFU9999X2
EXM_MU_6JOa_1507_000060	김규(金奎)	1507	G002+AKS-KHF_12AE40ADDCFFFFU9999X0
EXM_MU_6JOa_1507_000061	반순영(潘舜英)	1507	G002+AKS-KHF_13BC18C21CC601U9999X0
EXM_MU_6JOa_1507_000062	이호지(李好智)	1507	G002+AKS-KHF_13C774D638C9C0U9999X0
EXM_MU_6JOa_1507_000063	안지(安智)	1507	G002+AKS-KHF_12C548C9C0FFFFU9999X0
EXM_MU_6JOa_1507_000064	남비(南秠)	1507	G002+AKS-KHF_12B0A8BE44FFFFU9999X0
EXM_MU_6JOa_1507_000065	박언주(朴彦柱)	1507	G002+AKS-KHF_13BC15C5B8C8FCU9999X0
EXM_MU_6JOa_1507_000066	박유경(朴有敬)	1507	G002+AKS-KHF_13BC15C720ACBDU9999X0
EXM_MU_6JOa_1507_000067	진세인(秦世仁)	1507	G002+AKS-KHF_13C9C4C138C778U9999X0
EXM_MU_6JOa_1507_000068	조세건(曹世健)	1507	G002+AKS-KHF_13C870C138AC74U9999X0
EXM_MU_6JOa_1507_000069	이형순(李亨順)	1507	G002+AKS-KHF_13C774D615C21CB1475X0
EXM_MU_6JOa_1507_000070	김영년(金永年)	1507	G002+AKS-KHF_13AE40C601B144U9999X0
