exam_id	name	exam_year	uci
EXM_KM_5COa_1013_000055	임유간(林維幹)	1013	G002+AKS-KHF_13C784C720AC04D1047X0
EXM_KM_5COa_1013_000056	최홍정(崔弘正)	1013	G002+AKS-KHF_13CD5CD64DC815U9999X1
EXM_KM_5COa_1014_000057	우현부(禹賢符)	1014	G002+AKS-KHF_13C6B0D604BD80U9999X0
EXM_KM_5COa_1014_000058	석방보(石邦寶)	1014	G002+AKS-KHF_13C11DBC29BCF4U9999X0
EXM_KM_5COa_1016_000059	김현(金顯)	1016	G002+AKS-KHF_12AE40D604FFFFU9999X6
EXM_KM_5COa_1017_000060	정배걸(鄭倍傑)	1017	G002+AKS-KHF_13C815BC30AC78D1051X0
EXM_KM_5COa_1018_000061	황정(黃靖)	1018	G002+AKS-KHF_12D669C815FFFFU9999X3
EXM_KM_5COa_1020_000062	이원현(李元顯)	1020	G002+AKS-KHF_13C774C6D0D604U9999X0
EXM_KM_5COa_1021_000063	조패(趙覇)	1021	G002+AKS-KHF_12C870D328FFFFU9999X0
EXM_KM_5COa_1023_000064	장교(張喬)	1023	G002+AKS-KHF_12C7A5AD50FFFFU9999X0
EXM_KM_5COa_1024_000065	이자연(李子淵)	1024	G002+AKS-KHF_13C774C790C5F0B1003X0
EXM_KM_5COa_1026_000066	최황(崔貺)	1026	G002+AKS-KHF_12CD5CD669FFFFU9999X0
EXM_KM_5COa_1028_000067	정재원(鄭在元)	1028	G002+AKS-KHF_13C815C7ACC6D0U9999X0
EXM_KM_5COa_1030_000068	최유선(崔惟善)	1030	G002+AKS-KHF_13CD5CC720C120D1075X0
EXM_KM_5COa_9999_000069	왕총지(王寵之)	_	G002+AKS-KHF_13C655CD1DC9C0D1067X0
EXM_KM_5COa_9999_000070	최융(崔融)	_	G002+AKS-KHF_12CD5CC735FFFFU9999X1
EXM_KM_5COa_9999_000071	김정준(金廷俊)	_	G002+AKS-KHF_13AE40C815C900U9999X0
EXM_KM_5COa_9999_000072	이영간(李令幹)	_	G002+AKS-KHF_13C774C601AC04U9999X0
EXM_KM_5COa_9999_000073	김화숭(金化崇)	_	G002+AKS-KHF_13AE40D654C22DU9999X0
EXM_KM_5COa_9999_000074	김행경(金行瓊)	_	G002+AKS-KHF_13AE40D589ACBDU9999X0
EXM_KM_5COa_1032_000075	백가이(白可易)	1032	G002+AKS-KHF_13BC31AC00C774U9999X0
EXM_KM_5COa_1033_000076	최희목(崔希穆)	1033	G002+AKS-KHF_13CD5CD76CBAA9U9999X0
EXM_KM_5COa_9999_000077	이상선(李象先)	_	G002+AKS-KHF_13C774C0C1C120U9999X0
EXM_KM_5COa_1035_000078	김무체(金無滯)	1035	G002+AKS-KHF_13AE40BB34CCB4U9999X0
EXM_KM_5COa_1035_000079	이종현(李從現)	1035	G002+AKS-KHF_13C774C885D604U9999X0
EXM_KM_5COa_1035_000080	홍덕성(洪德成)	1035	G002+AKS-KHF_13D64DB355C131U9999X0
EXM_KM_5COa_1035_000081	이상정(李象廷)	1035	G002+AKS-KHF_13C774C0C1C815U9999X0
EXM_KM_5COa_1035_000082	최상(崔尙)	1035	G002+AKS-KHF_12CD5CC0C1FFFFU9999X0
EXM_KM_5COa_1035_000083	최유부(崔有孚)	1035	G002+AKS-KHF_13CD5CC720BD80U9999X0
EXM_KM_5COa_1035_000084	김숙창(金淑昌)	1035	G002+AKS-KHF_13AE40C219CC3DU9999X0
EXM_KM_5COa_1035_000085	김정(金正)	1035	G002+AKS-KHF_12AE40C815FFFFU9999X7
EXM_KM_5COa_1035_000086	김양지(金良贄)	1035	G002+AKS-KHF_13AE40C591C9C0U9999X0
EXM_KM_5COa_1035_000087	오학린(吳學麟)	1035	G002+AKS-KHF_13C624D559B9B0B1009X0
EXM_KM_5COa_1037_000088	노연패(盧延覇)	1037	G002+AKS-KHF_13B178C5F0D328U9999X0
EXM_KM_5COa_1039_000089	황항지(黃抗之)	1039	G002+AKS-KHF_13D669D56DC9C0U9999X0
EXM_KM_5COa_1041_000090	유창(兪暢)	1041	G002+AKS-KHF_12C720CC3DFFFFU9999X1
EXM_KM_5COa_1044_000091	김원현(金元鉉)	1044	G002+AKS-KHF_13AE40C6D0D604U9999X0
EXM_KM_5COa_1046_000092	이인정(李仁挺)	1046	G002+AKS-KHF_13C774C778C815U9999X1
EXM_KM_5COa_1046_000093	고유(高維)	1046	G002+AKS-KHF_12ACE0C720FFFFU9999X0
EXM_KM_5COa_9999_000094	최사량(崔思諒)	_	G002+AKS-KHF_13CD5CC0ACB7C9D1092X0
EXM_KM_5COa_9999_000095	이정공(李靖恭)	_	G002+AKS-KHF_13C774C815ACF5D1099X0
EXM_KM_5COa_9999_000096	정유산(鄭惟産)	_	G002+AKS-KHF_13C815C720C0B0D1091X0
EXM_KM_5COa_9999_000097	김의진(金義珍)	_	G002+AKS-KHF_13AE40C758C9C4D1070X0
EXM_KM_5COa_9999_000098	이성미(李成美)	_	G002+AKS-KHF_13C774C131BBF8U9999X0
EXM_KM_5COa_1047_000099	김정신(金鼎新)	1047	G002+AKS-KHF_13AE40C815C2E0U9999X1
EXM_KM_5COa_1049_000100	박인수(朴仁壽)	1049	G002+AKS-KHF_13BC15C778C218U9999X1
EXM_KM_5COa_1049_000101	이신석(李申錫)	1049	G002+AKS-KHF_13C774C2E0C11DU9999X0
EXM_KM_5COa_1051_000102	최석(崔錫)	1051	G002+AKS-KHF_12CD5CC11DFFFFU9999X2
EXM_KM_5COa_1051_000103	김양감(金良鑑)	1051	G002+AKS-KHF_13AE40C591AC10U9999X0
EXM_KM_5COa_1051_000104	최사훈(崔思訓)	1051	G002+AKS-KHF_13CD5CC0ACD6C8U9999X0
EXM_KM_5COa_1051_000105	박인량(朴寅亮)	1051	G002+AKS-KHF_13BC15C778B7C9D1096X0
EXM_KM_5COa_1051_000106	최택(崔澤)	1051	G002+AKS-KHF_12CD5CD0DDFFFFU9999X2
EXM_KM_5COa_1051_000107	위제만(魏齊萬)	1051	G002+AKS-KHF_13C704C81CB9CCU9999X0
EXM_KM_5COa_1053_000108	우상(禹相)	1053	G002+AKS-KHF_12C6B0C0C1FFFFU9999X0
EXM_KM_5COa_1054_000109	유선여(柳善餘)	1054	G002+AKS-KHF_13C720C120C5ECU9999X0
EXM_KM_5COa_1054_000110	최사제(崔思齊)	1054	G002+AKS-KHF_13CD5CC0ACC81CD1091X0
EXM_KM_5COa_1056_000111	이간방(李幹方)	1056	G002+AKS-KHF_13C774AC04BC29U9999X0
EXM_KM_5COa_1057_000112	이준(李俊)	1057	G002+AKS-KHF_12C774C900FFFFU9999X3
