munjip_id	문집	文集	성명	姓名	birthyear	deathyear	ancestralseat	choronym
ITKC_MI_0058A	박선생유고	朴先生遺稿	박팽년	朴彭年	1417	1456	順天	順天 朴
ITKC_MI_0059A	보한재집	保閑齋集	신숙주	申叔舟	1417	1475	高靈	高靈 申
ITKC_MI_0060A	성근보집	成謹甫集	성삼문	成三問	1418	1456	昌寧	昌寧 成
ITKC_MI_0061A	사가집	四佳集	서거정	徐居正	1420	1488	達城	達城 徐
ITKC_MI_0062A	어계집	漁溪集	조려	趙旅	1420	1489	咸安	咸安 趙
ITKC_MI_0063A	삼탄집	三灘集	이승소	李承召	1422	1484	陽城	陽城 李
ITKC_MI_0064A	사숙재집	私淑齋集	강희맹	姜希孟	1424	1483	晉州	晉州 姜
ITKC_MI_0065A	진일유고	眞逸遺藁	성간	成侃	1427	1456	昌寧	昌寧 成
ITKC_MI_0066A	점필재집	佔畢齋集	김종직	金宗直	1431	1492	善山	善山 金
ITKC_MI_0067A	소총유고	篠䕺遺稿	홍유손	洪裕孫	1452	1529	南陽	南陽 洪
ITKC_MI_0068A	소요재집	逍遙齋集	최숙정	崔淑精	1432	1480	陽川	陽川 崔
ITKC_MI_0069A	매월당집	梅月堂集	김시습	金時習	1435	1493	江陵	江陵 金
ITKC_MI_0070A	청파집	靑坡集	이륙	李陸	1438	1498	固城	固城 李
ITKC_MI_0071A	허백정집	虛白亭集	홍귀달	洪貴達	1438	1504	缶溪	缶溪 洪
ITKC_MI_0072A	허백당집	虛白堂集	성현	成俔	1439	1504	昌寧	昌寧 成
ITKC_MI_0073A	대봉집	大峯集	양희지	楊熙止	1439	1504	中和	中和 楊
ITKC_MI_0074A	격재집	格齋集	손조서	孫肇瑞			一直	一直 孫
ITKC_MI_0075A	뇌계집	㵢谿集	유호인	兪好仁	1445	1494	高靈	高靈 兪
ITKC_MI_0076A	안락당집	顔樂堂集	김흔	金訢	1448	1492	延安	延安 金
ITKC_MI_0077A	연헌잡고	蓮軒雜稿	이의무	李宜茂	1449	1507	德水	德水 李
ITKC_MI_0078A	나재집	懶齋集	채수	蔡壽	1449	1515	仁川	仁川 蔡
ITKC_MI_0079A	남계집	藍溪集	표연말	表沿沫	1449	1498	新昌	新昌 表
ITKC_MI_0080A	일두집	一蠧集	정여창	鄭汝昌	1450	1504	河東	河東 鄭
ITKC_MI_0081A	추강집	秋江集	남효온	南孝溫	1454	1492	宜寧	宜寧 南
ITKC_MI_0082A	월헌집	月軒集	정수강	丁壽崗	1454	1527	押海	押海 丁
ITKC_MI_0083A	매계집	梅溪集	조위	曺偉	1454	1503	昌寧	昌寧 曺
ITKC_MI_0084A	금남집	錦南集	최부	崔溥	1454	1504	耽津	耽津 崔
ITKC_MI_0085A	사우정집	四雨亭集	이식	李湜	1458	1488	全州	全州 李
ITKC_MI_0086A	산당집	山堂集	최충성	崔忠成	1458	1491	全州	全州 崔
ITKC_MI_0087A	용재유고	慵齋遺稿	이종준	李宗準		1499	慶州	慶州 李
ITKC_MI_0088A	재사당일집	再思堂逸集	이원	李黿		1504	慶州	慶州 李
ITKC_MI_0089A	정문익공유고	鄭文翼公遺稿	정광필	鄭光弼	1462	1538	東萊	東萊 鄭
ITKC_MI_0090A	이요정집	二樂亭集	신용개	申用漑	1463	1519	高靈	高靈 申
ITKC_MI_0091A	목계일고	木溪逸稿	강혼	姜渾	1464	1519	晉州	晉州 姜
ITKC_MI_0092A	탁영집	濯纓集	김일손	金馹孫	1464	1498	金海	金海 金
ITKC_MI_0093A	수헌집	睡軒集	권오복	權五福	1467	1498	醴泉	醴泉 權
ITKC_MI_0094A	농암집	聾巖集	이현보	李賢輔	1467	1555	永川	永川 李
ITKC_MI_0095A	망헌유고	忘軒遺稿	이주	李胄		1504	固城	固城 李
ITKC_MI_0096A	송재집	松齋集	이우	李堣	1469	1517	眞寶	眞寶 李
ITKC_MI_0097A	허암유집	虛庵遺集	정희량	鄭希良	1469		海州	海州 鄭
ITKC_MI_0098A	송당집	松堂集	박영	朴英	1471	1540	密陽	密陽 朴
ITKC_MI_0099A	이평사집	李評事集	이목	李穆	1471	1498	全州	全州 李
ITKC_MI_0100A	십청집	十淸集	김세필	金世弼	1473	1533	慶州	慶州 金
ITKC_MI_0101A	안분당시집	安分堂詩集	이희보	李希輔	1473	1548	平壤	平壤 李
ITKC_MI_0102A	우암고	寓菴稿	홍언충	洪彥忠	1473	1508	缶溪	缶溪 洪
ITKC_MI_0103A	우정집	憂亭集	김극성	金克成	1474	1540	光山	光山 金
ITKC_MI_0104A	눌재집	訥齋集	박상	朴祥	1474	1530	忠州	忠州 朴
ITKC_MI_0105A	대관재난고	大觀齋亂稿	심의	沈義	1475		豐山	豐山 沈
ITKC_MI_0106A	묵재집	默齋集	홍언필	洪彥弼	1476	1549	南陽	南陽 洪
ITKC_MI_0107A	충재집	冲齋集	권벌	權橃	1478	1548	安東	安東 權
ITKC_MI_0108A	모재집	慕齋集	김안국	金安國	1478	1543	義城	義城 金
ITKC_MI_0109A	용재집	容齋集	이행	李荇	1478	1534	德水	德水 李
ITKC_MI_0110A	읍취헌유고	挹翠軒遺稿	박은	朴誾	1479	1504	高靈	高靈 朴
ITKC_MI_0111A	음애집	陰崖集	이자	李耔	1480	1533	韓山	韓山 李
ITKC_MI_0112A	학포집	學圃集	양팽손	梁彭孫	1488	1545	濟州	濟州 梁
ITKC_MI_0113A	희락당고	希樂堂稿	김안로	金安老	1481	1537	延安	延安 金
ITKC_MI_0114A	정암집	靜菴集	조광조	趙光祖	1482	1519	漢陽	漢陽 趙
ITKC_MI_0115A	월연집	月淵集	이태	李迨	1483	1536	驪州	驪州 李
ITKC_MI_0116A	기재집	企齋集	신광한	申光漢	1484	1555	高靈	高靈 申
