id	title	name	birthyear	deathyear	choronym
ITKC_MI_0046A	인재집(寅齋集)	신개(申槩)	1374년(고려 공민왕 23)	1446년(조선 세종 28)	평산(平山)
ITKC_MI_0047A	경재집(敬齋集)	하연(河演)	1376년(고려 우왕 2)	1453년(조선 단종 1)	진주(晉州)
ITKC_MI_0048A	정재일고(貞齋逸稿)	박의중(朴宜中)	1337년(고려 충숙왕 복위 6)	1403년(조선 태종 3)	밀양(密陽)
ITKC_MI_0049A	단계유고(丹溪遺稿)	하위지(河緯地)	1412년(태종 12)	1456년(세조 2)	진주(晉州) 단성(丹城)
ITKC_MI_0050A	태재집(泰齋集)	유방선(柳方善)	1388년(고려 우왕 14)	1443년(조선 세종 25)	서산(瑞山)
ITKC_MI_0051A	불우헌집(不憂軒集)	정극인(丁克仁)	1401년(태종 1)	1481년(성종 12)	영광(靈光)
ITKC_MI_0052A	경재유고(敬齋遺稿)	남수문(南秀文)	1408년(태종 8)	1442년(세종 24)	고성(固城)
ITKC_MI_0053A	식우집(拭疣集)	김수온(金守溫)	1409년(태종 9)	1481년(성종 12)	영동(永同)
ITKC_MI_0054A	태허정집(太虛亭集)	최항(崔恒)	1409년(태종 9)	1474년(성종 5)	삭녕(朔寧)
ITKC_MI_0055A	관란유고(觀瀾遺稿)	원호(元昊)	미상	미상	원주(原州)
ITKC_MI_0056A	눌재집(訥齋集)	양성지(梁誠之)	1415년(태종 15)	1482년(성종 13)	남원(南原)
ITKC_MI_0057A	저헌집(樗軒集)	이석형(李石亨)	1415년(태종 15)	1477년(성종 8)	연안(延安)
ITKC_MI_0058A	박선생유고(朴先生遺稿)	박팽년(朴彭年)	1417년(태종 17)	1456년(세조 2)	순천(順天)
ITKC_MI_0059A	보한재집(保閑齋集)	신숙주(申叔舟)	1417년(태종 17)	1475년(성종 6)	고령(高靈)
ITKC_MI_0060A	성근보집(成謹甫集)	성삼문(成三問)	1418년(태종 18)	1456년(세조 2)	창녕(昌寧)
ITKC_MI_0061A	사가집(四佳集)	서거정(徐居正)	1420년(세종 2)	1488년(성종 19)	달성(達城)
ITKC_MI_0062A	어계집(漁溪集)	조려(趙旅)	1420년(세종 2)	1489년(성종 20)	함안(咸安)
ITKC_MI_0063A	삼탄집(三灘集)	이승소(李承召)	1422년(세종 4)	1484년(성종 15)	양성(陽城)
ITKC_MI_0064A	사숙재집(私淑齋集)	강희맹(姜希孟)	1424년(세종 6)	1483년(성종 14)	진주(晉州)
ITKC_MI_0065A	진일유고(眞逸遺藁)	성간(成侃)	1427년(세종 9)	1456년(세조 2)	창녕(昌寧)
ITKC_MI_0066A	점필재집(佔畢齋集)	김종직(金宗直)	1431년(세종 13)	1492년(성종 23)	선산(善山)
ITKC_MI_0067A	소총유고(篠䕺遺稿)	홍유손(洪裕孫)	1452년(문종 2)	1529년(중종 24)	남양(南陽)
ITKC_MI_0068A	소요재집(逍遙齋集)	최숙정(崔淑精)	1432년(세종 14)	1480년(성종 11)	양천(陽川)
