source	target	relationship
pm000113w	pm000113	HAS_SIL_MGB
pm000114	pm000117	HAS_SON_MGB
pm000114w	pm000114	HAS_SIL_MGB
pm000116	pm000118	HAS_SON_MGB
pm000116w	pm000116	HAS_SIL_MGB
pm000117	pm000119	HAS_SON_MGB
pm000117w	pm000117	HAS_SIL_MGB
pm000118w	pm000118	HAS_SIL_MGB
pm000119w	pm000119	HAS_SIL_MGB
pm000120	pm000123	HAS_SON_MGB
pm000120	pm000124	HAS_SON_MGB
pm000120w1	pm000120	HAS_SIL_MGB
pm000120w2	pm000120	HAS_SIL_MGB
pm000120w3	pm000120	HAS_SIL_MGB
pm000123	pm000127	HAS_SON_MGB
pm000123w	pm000123	HAS_SIL_MGB
pm000124	pm000128	HAS_SON_MGB
pm000124	pm000129	HAS_SON_MGB
pm000124w	pm000124	HAS_SIL_MGB
pm000127	pm000130	HAS_SON_MGB
pm000128	pm000131	HAS_SON_MGB
pm000129	pm000132	HAS_SON_MGB
pm000129w	pm000129	HAS_SIL_MGB
pm000130	pm000134	HAS_SON_MGB
pm000131	pm000135	HAS_SON_MGB
pm000131	pm000136	HAS_SON_MGB
pm000132	pm000137	HAS_SON_MGB
pm000132	pm000138	HAS_SON_MGB
pm000132	pm000139	HAS_SON_MGB
pm000140w	pm000140	HAS_SIL_MGB
pm000141w	pm004724	HAS_SIL_MGB
pm000142	pm000143	HAS_SON_MGB
pm000142	pm000158	HAS_SON_MGB
pm000142	pm000159	HAS_SON_MGB
pm000142	pm000179	HAS_SON_MGB
pm000142w	pm000142	HAS_SIL_MGB
pm000143	pm000144	HAS_SON_MGB
pm000143	pm000145	HAS_SON_MGB
pm000143	pm000146	HAS_SON_MGB
pm000143w	pm000143	HAS_SIL_MGB
pm000144	pm000147	HAS_SON_MGB
pm000144w	pm000144	HAS_SIL_MGB
pm000145	pm000148	HAS_SIL_MGB
pm000145	pm000149	HAS_SON_MGB
pm000145w	pm000145	HAS_SIL_MGB
pm000146	pm000150	HAS_SON_MGB
pm000146	pm000164	HAS_SON_MGB
pm000146	pm000165	HAS_SON_MGB
pm000146w	pm000146	HAS_SIL_MGB
pm000147w	pm000147	HAS_SIL_MGB
pm000148	pm000153	HAS_SON_MGB
pm000148w	pm000148	HAS_SIL_MGB
pm000149	pm000151	HAS_SON_MGB
pm000149	pm000152	HAS_SON_MGB
pm000150	pm000154	HAS_SON_MGB
pm000150w1	pm000150	HAS_SIL_MGB
pm000150w2	pm000150	HAS_SIL_MGB
pm000151w	pm000151	HAS_SIL_MGB
pm000153w	pm000153	HAS_SIL_MGB
pm000154	pm000156	HAS_SON_MGB
pm000154	pm000198	HAS_SON_MGB
pm000158	pm000160	HAS_SON_MGB
pm000158w	pm000158	HAS_SIL_MGB
pm000159	pm000162	HAS_SON_MGB
pm000160	pm000166	HAS_SON_MGB
pm000160w	pm000160	HAS_SIL_MGB
pm000162	pm000168	HAS_SON_MGB
pm000162	pm000169	HAS_SON_MGB
