source	target	relationship
pm077822	pm077826	HAS_SON_MGB
pm077820	pm077822	HAS_SON_MGB
pm077818	pm077820	HAS_SON_MGB
pm077851	pm077856	HAS_SON_MGB
pm077842	pm077851	HAS_SON_MGB
pm077836	pm077842	HAS_SON_MGB
pm077842w	pm077842	HAS_SIL_MGB
pm077851w	pm077851	HAS_SIL_MGB
pm077851	pm077857	HAS_SON_MGB
pm077842	pm077851	HAS_SON_MGB
pm077836	pm077842	HAS_SON_MGB
pm077842w	pm077842	HAS_SIL_MGB
pm077851w	pm077851	HAS_SIL_MGB
pm025782	pm025788	HAS_SON_MGB
pm025972	pm025782	HAS_SON_MGB
pm025774	pm025972	HAS_SON_MGB
pm074751	pm074757	HAS_SON_MGB
pm074743	pm074751	HAS_SIL_MGB
pm074700	pm074743	HAS_SON_MGB
pm074743w	pm074743	HAS_SIL_MGB
pm000368w	pm000368	HAS_SIL_MGB
pm016526	pm016531	HAS_SON_MGB
pm016522	pm016526	HAS_SON_MGB
pm016517	pm016522	HAS_SON_MGB
pm016526	pm016532	HAS_SON_MGB
pm016522	pm016526	HAS_SON_MGB
pm016517	pm016522	HAS_SON_MGB
pm064258w	pm064258	HAS_SIL_MGB
pm039960	pm039985	HAS_SIL_MGB
pm039954	pm039960	HAS_SON_MGB
pm039951	pm039954	HAS_SON_MGB
pm039954w	pm039954	HAS_SIL_MGB
pm039960w	pm039960	HAS_SIL_MGB
pm039960	pm039986	HAS_SON_MGB
pm039954	pm039960	HAS_SON_MGB
pm039951	pm039954	HAS_SON_MGB
pm039954w	pm039954	HAS_SIL_MGB
pm039960w	pm039960	HAS_SIL_MGB
pm076805	pm076809	HAS_SIL_MGB
pm076803	pm076805	HAS_SON_MGB
pm076801	pm076803	HAS_SON_MGB
pm076803w	pm076803	HAS_SIL_MGB
pm076805w	pm076805	HAS_SIL_MGB
pm087772	pm087773	HAS_SON_MGB
pm087771	pm087772	HAS_SON_MGB
pm087770	pm087771	HAS_SON_MGB
pm067366w	pm067366	HAS_SIL_MGB
pm010236	pm010240	HAS_SON_MGB
pm010226	pm010236	HAS_SON_MGB
pm010223	pm010226	HAS_SON_MGB
pm010236w	pm010236	HAS_SIL_MGB
pm010236	pm010266	HAS_SON_MGB
pm010226	pm010236	HAS_SON_MGB
pm010223	pm010226	HAS_SON_MGB
pm010236w	pm010236	HAS_SIL_MGB
pm038669	pm038671	HAS_SON_MGB
pm038665	pm038669	HAS_SON_MGB
pm038663	pm038665	HAS_SIL_MGB
pm038665w	pm038665	HAS_SIL_MGB
pm038669w	pm038669	HAS_SIL_MGB
pm065771	pm065780	HAS_SON_MGB
pm065761	pm065771	HAS_SON_MGB
pm065754	pm065761	HAS_SON_MGB
pm077581	pm077584	HAS_SON_MGB
